Time (s)	PSI(P = 1.99 nW*um^-2)(a.u.) 000	PSI(P = 5.65 nW*um^-2)(a.u.) 001	PSI(P = 9.05 nW*um^-2)(a.u.) 002	PSI(P = 12.39 nW*um^-2)(a.u.) 003	PSI(P = 15.64 nW*um^-2)(a.u.) 004	PSI(P = 18.78 nW*um^-2)(a.u.) 005	PSI(P = 21.92 nW*um^-2)(a.u.) 006	PSI(P = 24.97 nW*um^-2)(a.u.) 007	PSI(P = 28.01 nW*um^-2)(a.u.) 008
2328.85	53.806527187286385	63.33130260851219	68.8981892035064	72.72186000911073	76.62999555931692	77.85165676831448	76.57711649838129	78.06780707605785	79.02345524465933
2328.9	53.50356512238781	63.26582712845115	69.01979886927242	72.82658180112689	76.35996684713295	77.60953255199713	76.34324117581127	78.31634282749148	79.44808914398776
2328.95	53.60274727762305	63.347942870563784	68.91765928758467	72.63706924198512	76.54874317933877	77.7096245026697	76.57404921484263	78.00676199857625	79.44808914398776
2329.0	53.777630662035364	63.612998369191395	69.3101729217918	72.83544920855796	76.25071288030384	77.90676205371989	76.60931578799745	78.07549042189247	79.35710935085862
2329.05	53.37778497582487	63.53017736776176	69.00005387881143	72.71942083097689	76.2747294337428	77.81448677479798	76.60931578799745	78.22201438673108	79.22740561285869
2329.1	53.60188938773041	63.34412142850582	68.97900935971866	72.87617277324378	76.35647850525105	77.7035141335991	76.8196591333458	78.07469305526847	79.50234332752301
2329.15	53.34930585198313	63.53850802343073	69.09115292534075	72.70299583226974	76.31283520915429	77.7795942442327	76.44226859219488	78.0960845772776	79.32557303379662
2329.2	53.267478293224904	63.58815009636257	68.84293747078301	72.63882446990455	76.32925129087357	77.71688555212616	76.35773215355366	78.22507871515971	79.57805148281957
2329.25	53.43394899553242	63.410244739942684	69.00648579677775	72.78024829116089	76.219994710294	78.06249789316004	76.7091459395511	78.2036220361884	79.5606165217496
2329.3	53.373803745468656	63.803910707306606	68.8786406172091	72.68880771686811	76.36555640638636	77.85571750198865	76.50148416470824	78.22924961568076	79.06713759233648
2329.35	53.56189266934011	63.658648178585274	68.80506678441029	72.66710909829924	76.5074987862006	78.1381308243724	76.38658872357678	78.06054917088622	79.06713759233648
2329.4	53.34450671825965	63.50119220349365	69.12900529971171	72.99591638896455	76.54942447166596	78.10510533039434	76.49025258575907	78.06094672110648	79.67947700948828
2329.45	53.409423984702016	63.37727608204146	68.98550278033146	72.97984149813406	76.52953267493045	77.92746279705013	76.42377702715687	78.23161679251166	79.73826820304782
2329.5	53.525771825909096	63.592346715237646	68.98635576093827	72.64704966884581	76.6716557575598	77.83140015591412	76.6047680632343	78.19980507793434	79.32676761389529
2329.55	53.32269388262365	63.52609624738039	68.87071652132258	72.77534664812217	76.22479082964215	77.63300938282305	76.42979537837073	78.26279066781956	79.80034957266116
2329.6	53.50089719809094	63.679418242326314	69.09661678248045	72.78118723739051	76.14402722483025	78.02649693824979	76.44837384820016	77.81078085462555	79.80034957266116
2329.65	53.41308400415279	63.64211163640575	69.26054970227831	72.39963831189613	76.25059738847035	77.93839142797198	76.57608652416829	78.22476607658291	79.47941240857199
2329.7	53.496810742940724	63.68770835992236	69.02617426984389	72.7164913677075	76.19252414243856	77.4974823610789	76.57608652416829	78.18131301917902	79.47941240857199
2329.75	53.188987350996676	63.92001096345578	69.45282853971788	72.78307107807738	76.3198333140881	77.86610052825681	76.70409516305573	78.13391825989501	79.4482528292449
2329.8	53.52408360613014	63.60475039915791	69.1406494433768	72.654715075505	76.58796834291232	78.29788949724316	76.66656626896054	78.04638578309631	79.53567398607682
2329.85	53.06652560843352	63.414260571305604	68.92252686803238	72.57233059674468	76.47815180686058	77.9635709057234	76.16065875879684	77.94795373788928	79.35950652014661
2329.9	53.604433189992264	63.712587882916964	69.14465507289813	72.99530523362158	76.5961733798535	78.04633952406269	76.69919339199367	78.1379076945367	79.57451623918908
2329.95	53.63261374186023	63.67524686641148	69.17223956027694	72.81696665668746	76.50150755920498	78.1231106221273	76.46567531797	78.19450851489819	79.57451623918908
2330.0	53.32954924829073	63.81635967235792	68.94487913203203	72.602364820408	76.51417428013119	77.65624125746581	76.65891774987284	78.07996628105383	79.34242681101313
2330.05	53.304283129505755	63.53015370751131	68.9808631473082	72.7774193513055	76.71799480654269	78.07329478167038	76.7640609676879	78.01440619146594	79.4357971951512
2330.1	53.46557971565859	63.70842400818215	68.97410513560268	73.07693325234838	76.43033060797153	77.7740724638596	76.28199050312591	78.22283561514448	79.4357971951512
2330.15	53.348250664220615	63.7665723995514	69.09843713778463	72.80982492722057	76.34634246712966	77.78949094676571	76.28199050312591	78.44833239587925	79.4273735870258
2330.2	53.60988196739172	63.27422900220592	68.84135040899108	73.0153601144425	76.24034893989024	77.89220651737348	76.29178015561872	78.21420892139007	79.12673290635985
2330.25	53.724012746588926	63.68354809189798	69.1025896670329	72.48926365971992	76.70248871795322	77.82287264538365	76.3675339082818	77.79577354901066	79.36431246612433
2330.3	53.19832146166062	63.7001397005697	68.64994536728254	72.87234330568599	76.23576188785782	77.58966388213402	76.85506701248674	78.11351212649073	79.36431246612433
2330.35	53.473608284756786	63.592346715237646	69.17851410534269	72.80036483443182	76.18296628507139	77.88904787204692	76.52188713273989	78.05325518537879	79.62793549333887
2330.4	53.46009884318796	63.59642890032151	69.39021525452698	72.88409243496415	76.05145975644865	78.04505470420187	76.8288958590834	77.94494808243815	79.42925268645315
2330.45	53.376869820356845	63.683549163020906	69.09388501946876	72.5599649923973	76.2123992522236	77.82445816384912	76.86202345572399	78.05447364003867	79.68369580317653
2330.5	53.25905529740241	63.34848245781974	69.1754128771109	73.02797604383058	76.45901924874809	77.85371519310893	76.80539164884108	78.0621610109133	79.68369580317653
2330.55	53.388205150607405	63.57985665161659	68.81633573745096	72.69790921034688	76.2006264300365	77.76378723671554	76.80539164884108	78.36495267910227	79.27690328493406
2330.6	53.46851057309664	63.77899619858045	68.96484276151799	72.51457810594437	76.08185530373568	77.68389119277926	76.53163209041652	78.27367514771575	79.27690328493406
2330.65	53.45438412003945	63.53029972347795	68.87805496074078	73.0432521533366	76.29782802201285	77.73822895579669	76.46466507339694	78.03829792615394	79.25320384316969
2330.7	53.66673841314938	63.426804473648126	68.93656764518124	72.63592318772805	76.30556270283736	77.91143111971223	76.1565739229768	78.36215343975323	79.4387627688649
2330.75	53.57745315366586	63.66278734682239	69.12595958557804	72.86265734961727	76.11863818506318	78.14232481607948	76.54694505254024	78.12412200909485	79.56647597591663
2330.8	53.594303774846175	63.671090969974266	69.25342961344553	72.8009606058437	76.29129943644139	77.83357508668257	76.58936249590793	77.96913588678665	79.57775731860661
2330.85	53.410157337128915	63.37299432479532	69.11726281035162	72.87673574624591	76.22338694677778	77.71440311045558	76.55870253264749	77.90047968215202	79.40246887973986
2330.9	53.48369956623519	63.85367716672922	69.00876769489128	72.86909524960735	76.32830211190581	77.59415011163573	76.97247079362386	78.2264635145562	79.23247658459165
2330.95	53.305974410249924	63.53839950481502	68.7637272719952	72.85135242114056	76.48138755795785	78.02773342943227	76.18992736754504	78.31033379982807	79.50307012011537
2331.0	53.73331493773835	63.55090461056908	69.22087189213921	73.08296542239819	76.62518832851238	77.40405727054969	76.3310004089538	78.37073373723364	79.631516458887
2331.05	53.58212180176771	63.700135442474476	69.07927287467021	72.60880182839438	76.02866319267802	77.53661847007328	76.42902022060952	78.4632801634864	79.06070180160657
2331.1	53.13763191720078	63.35636779437859	68.82588819128337	72.79744247836234	76.27310191514836	77.76187700362468	76.51882577377931	78.22952577718341	79.56252680702175
2331.15	53.33634246658224	63.53848501436521	68.84646696196977	72.76511075278312	76.49379356568915	78.00130352814595	76.51882577377931	78.36795544100133	79.4113765241009
2331.2	53.501397953048205	63.63791829753528	68.86617377553448	72.6164738628798	76.04734263319284	77.62237320818149	76.55511468710085	78.2956336828441	79.34058661093118
2331.25	53.51186968237087	63.555078999797104	68.98539309011926	73.24328360760987	76.32450536851222	78.00787132460113	76.98090074753705	78.09012561657435	79.27393001833637
2331.3	53.49720083416622	63.43073302277795	69.19189227973476	72.61824482878903	76.2474561728922	77.7227896437018	76.7172229240337	78.10387632869076	79.53567398607682
2331.35	53.50345761789451	63.85376502735602	69.05225432925282	72.3609092050782	76.31570722052057	77.70984564449125	76.24735754062206	78.08199943868628	79.16987673255737
2331.4	53.55266996676715	63.67524747329902	68.92868530308257	72.80459434920785	76.48672397273923	77.71666821432127	76.41327952441446	78.09407251705723	79.47083657328875
2331.45	53.34147631717434	63.50113259697167	69.15308989473931	72.65183853542285	76.75478732175769	77.84775409057109	76.82871850139779	78.21195193663806	79.33423578192357
2331.5	53.640204202973905	63.70429855883441	69.27640244595503	72.78051311701269	76.3023558845066	77.81402660026757	76.48413352082238	78.08480612326412	79.61435791477193
2331.55	53.42422099135322	63.55104895848368	68.73773750425867	72.55277664425766	76.51577983030269	77.92011668768542	76.57811066007298	78.31334115213551	79.514972882567
2331.6	53.38036295569659	63.45165923139479	69.2323019835068	72.91974427798229	76.24903106659917	77.85094119432276	76.45912971647613	78.3205866459584	79.2640296576203
2331.65	53.66081535990574	63.73747627207542	69.01196712359277	72.97279859315515	76.34801541236341	77.97130589369522	76.52345482416814	78.1636962294716	79.40882086826501
2331.7	53.04890042583933	63.71674002487169	69.310461557918	72.80228295892596	76.40060732522129	78.13877663844622	76.39017472991789	77.93875015014149	79.12873668031709
2331.75	53.348352521380946	63.575767848171594	68.80907982865368	72.44429573210864	76.3383978617311	78.08227339935958	76.35947416051458	77.88182437516163	79.12873668031709
2331.8	53.5405343702798	63.368695449813124	69.08568544627173	72.84465992624622	76.77192429552562	77.99402760219944	76.58783624179931	78.1593237798395	79.3648558171795
2331.85	53.41472952642041	63.67110215822081	68.97121863660963	72.77156392448494	76.28781139516809	77.89921082605987	76.19859239095135	78.16022281822463	79.28020976721614
2331.9	53.29722857765857	63.89105371871195	69.18282044355583	72.98726044194746	76.50438448355504	77.8654555433368	76.48569830694161	78.15857942808667	79.28020976721614
2331.95	53.38057050165882	63.29453253351301	68.76134242862533	72.79986039928426	76.2432450977911	77.73096668870052	76.44070171484476	78.06825609953961	79.4474885150203
2332.0	53.286248839444305	63.47238498997647	69.0504127581956	72.7733814301168	76.58321955641503	77.76474670504683	76.48055473144046	77.95579470494934	79.4742658952722
