Time (s)	PSI(P = 1.99 nW*um^-2)(a.u.)
30.8	9.275186009215133
30.85	9.421012817251484
30.9	9.475095962545208
30.95	9.42571561908646
31.0	9.348759085988636
31.05	9.371259886740873
31.1	9.348815987549322
31.15	9.213153005209707
31.2	9.292895610059093
31.251	9.322894401950778
31.3	9.366564939786414
31.351	9.499663937924685
31.401	9.437718715177018
31.451	9.367983663305202
31.5	9.372681120084215
31.55	9.331776445170847
31.6	9.473687180321797
31.65	9.231580294912506
31.701	9.429358354768224
31.75	9.259459031396895
31.8	9.330430986270887
31.85	9.1796845663885
31.901	9.36802524483928
31.95	9.417219399991117
32.0	9.417767356311996
32.05	9.289464765706182
32.1	9.4883185532789
32.15	9.331108530530889
32.2	9.238950291923857
32.25	9.109475734634858
32.301	9.480708144011858
32.351	9.407633982495774
32.4	9.266964182635167
32.451	9.234901804022652
32.5	9.28398816421262
32.55	9.243051513572748
32.6	9.526932737048826
32.651	9.31198594835569
32.7	9.404288972081323
32.75	9.010827804452997
32.8	9.355108110349962
32.85	9.189804585424982
32.901	9.082293281310472
32.95	9.283293484522716
33.0	9.38863397724641
33.05	9.321581477358169
33.101	9.343478727622415
33.151	9.247069144336807
33.2	9.34075022923495
33.25	9.080832505259814
33.3	9.294909273387757
33.35	9.119517421969825
33.4	9.282612579722725
33.45	9.387940776347055
33.5	9.080545536931435
33.55	9.26143340729019
33.6	9.26001709385547
33.65	9.29969293320857
33.7	9.14132250790972
33.75	9.08068557710422
33.8	9.272325364092477
33.85	9.281203869005019
33.9	9.227136084871415
33.95	9.122166438879892
34.0	8.993622191528987
34.051	8.98458793765717
34.1	9.17057213524963
34.15	9.264119850601146
34.2	9.330456800943043
34.25	8.966059443575269
34.3	9.311330719405387
34.35	9.19502996001863
34.4	8.981578238265861
34.45	9.270950714018097
34.5	9.246986236301398
34.55	9.250384151594371
34.601	9.20040875552118
34.65	9.180620397386898
34.7	8.978344739218754
34.75	9.147768911065837
34.8	9.203909321909395
34.851	9.161520889805898
34.9	9.252455493386966
34.95	9.218925168436963
35.0	9.226461198577528
35.051	8.926800869355672
35.1	9.288051341066506
35.15	9.22511006101237
35.2	9.033161639975683
35.25	9.226461198577528
35.3	9.222301034049293
35.35	9.180538662643766
35.4	9.159517776733797
35.45	9.235985701479212
35.5	9.050876413484074
35.551	9.324362890857337
35.601	9.17793191678861
35.65	9.008370950762941
35.7	9.051698527437464
35.75	9.266166159203218
35.8	9.116250634555723
35.851	9.14899980004404
35.9	9.333953682321114
35.951	9.031201456803094
36.0	9.088968868616487
36.05	9.373692631971531
36.1	9.112145176338496
36.15	9.036914805932499
36.2	8.981374326055882
36.251	8.910407998927079
36.301	9.018995719527487
36.35	8.95525457514569
36.4	9.116250634555723
36.45	9.187933597777143
36.5	9.008819650163188
36.55	9.083246131171979
36.6	9.279773854167404
36.65	8.935393713043124
36.7	9.04954888993676
36.75	8.95543952276376
36.8	9.227658911575505
36.85	9.144793390828806
36.9	9.005563058999316
36.95	9.183734564886828
37.0	9.022730701677656
37.05	9.100221569409573
37.1	9.04036413042925
37.15	9.13867419806385
37.2	9.048741732745537
37.25	9.085379981529762
37.3	9.06418070827799
37.35	9.083768249100235
37.4	9.066469635261152
37.451	8.981374326055882
37.5	9.164008012034168
37.55	9.089344953518813
37.601	8.990857051335619
37.65	8.942234327512098
37.7	9.058590134772498
37.75	8.893744152989425
37.8	9.161331307780051
37.85	8.989801510798207
37.901	8.980504433236192
37.95	8.95051088476398
38.001	9.121020317262367
38.05	8.949222176053354
38.1	8.858112586171147
38.15	9.13600900398524
38.201	9.13501463004361
38.25	9.034595410295006
38.301	9.125680255600678
38.35	9.127011275869778
38.401	8.973810730776966
38.451	9.091470478744817
38.5	9.09000651438301
38.55	8.894857398112608
38.6	9.100876501913769
38.65	9.10910808033201
38.7	9.123446141792883
38.75	9.013385302136744
38.8	8.935550349128453
38.85	9.043468860110284
38.9	8.971219848047147
38.95	9.10220294641289
39.0	8.832234731360561
39.05	8.79596194240594
39.1	8.92347788193244
39.15	8.992844487697655
39.2	9.078328850234163
39.251	8.993494225238734
39.3	8.924762497484874
39.35	9.022730701677656
39.401	8.967976217415194
39.45	8.976619962268048
39.5	8.74525395889299
39.55	8.901684613185044
39.6	8.980504433236192
39.65	8.951566989311388
39.7	8.932571368374333
39.75	9.014229612476532
39.8	9.048741732745537
39.85	9.076055164746757
39.9	8.916940623466457
39.95	9.085090786667761
40.001	9.1007491235179
40.05	8.971427841741965
40.1	9.028226686526562
40.15	9.03029897207882
40.201	8.824674222367355
40.25	8.853708986343506
40.3	8.919628485168795
40.351	8.921690003402139
40.401	8.937731397962594
40.45	8.995643755672061
40.501	9.004063319611422
40.55	8.96861306986267
40.6	9.012079816462702
40.65	8.838869227755753
40.7	8.964726905621223
40.75	8.979648680990259
40.8	8.880251858760646
40.85	9.021888854251022
40.9	9.10486361166647
40.95	8.980733436964886
41.0	9.01712062797269
41.05	9.003467535589246
41.1	8.94111667267098
41.15	9.12744234542739
41.2	9.032091624459277
41.25	9.054158942398958
41.3	8.922974634140573
41.35	8.94740332927879
41.401	8.846769980133795
41.45	8.885994149077641
41.5	8.962582142498754
41.55	9.02750455370552
41.6	8.730345166826726
41.65	8.777263972070553
41.7	9.008044636831286
41.75	8.920937832076216
41.8	8.99153649485722
41.85	8.842666323292727
41.9	8.867014312997512
41.95	8.847410987146896
42.0	9.022916512710141
42.051	8.886632146927251
42.1	9.023570621348641
42.15	8.816453982378325
42.201	8.798805528363015
42.251	8.780181439227226
42.3	8.98808625496924
42.35	8.885994149077641
42.4	9.04150154995679
42.45	8.831618813924234
42.5	9.043468860110284
42.551	9.03358299353785
42.6	8.991129499065558
42.65	8.797470978368082
42.7	8.814563103389988
42.75	8.957336502213776
42.8	8.879053089743975
42.85	8.887635640636246
42.9	8.695899555637558
42.95	8.77378350136679
43.0	8.841094748197586
43.05	8.740666133585375
43.1	8.887635640636246
43.15	8.57523339331343
43.2	8.69612333897744
43.25	8.822138255807099
43.3	8.842410121569007
43.35	8.706017661036698
43.4	8.757255988599761
43.45	8.74490956743929
43.5	8.796170548059544
43.551	8.852218556544692
43.6	8.901745236124093
43.65	8.856089436611922
43.701	9.109125439943623
43.751	8.722332341282819
43.8	8.825937676846193
43.85	8.945982542052016
43.901	9.0761107310327
43.952	8.632930664988944
44.001	8.797726518847433
44.05	8.87828541574249
44.1	8.741040313018653
44.15	8.699250704358965
44.2	8.838310211228212
44.25	9.033522486658628
44.3	8.813883697273118
44.35	8.656847413427263
44.4	8.785713608211196
44.45	8.885890447115942
44.501	8.822133312184786
44.55	8.773985773165435
44.6	8.818022862407728
44.65	8.937567565272621
44.701	8.78954097944252
44.751	8.91115470287313
44.801	8.979003667039645
44.85	8.903827209468668
44.9	8.862662738353
44.95	8.8487453864617
45.001	8.721614489158402
45.05	8.776853861071897
45.1	8.853153149614863
45.15	8.93845630740384
45.2	8.840197181334979
45.25	8.841445985990287
45.3	8.782280316298666
45.351	8.950992840820312
45.4	8.727587129637989
45.45	8.923654646900598
45.5	8.86869178897331
45.551	8.887360416643446
45.601	8.653408447740448
45.65	8.85408671554687
45.7	8.919651388869003
45.75	8.755374012540084
45.8	8.592260121127882
45.85	8.982052077620093
45.9	8.698993260738622
45.951	8.736683305039803
46.0	8.509486464970394
46.05	8.762979681363575
46.1	8.725961717659528
46.15	8.73580616275785
46.2	8.679489727430632
46.25	8.774059477050358
46.3	8.91424389581015
46.35	8.901370064551573
46.401	8.70928298142239
46.45	8.782571076528294
46.501	8.67640965652263
46.55	8.775598107316648
46.6	8.688335144655458
46.65	8.881687439761942
46.7	8.824036836844408
46.75	8.64641230090115
46.8	8.695938428855547
46.85	8.621318658997176
46.9	8.718594622290247
46.95	8.657274649321531
47.0	8.787600373452365
47.05	8.799951987654396
47.1	8.729071400584544
47.151	8.563641683672229
47.201	8.803147025389402
47.25	8.828473119788454
47.3	8.771202327534281
47.35	8.808825272075921
47.401	8.800589955898433
47.45	8.625868979295667
47.5	8.812636534802053
47.55	8.790748442047194
47.6	8.934337289377227
47.65	8.72022274874226
47.7	8.993323427236682
47.75	8.705002684807077
47.8	8.752251250382983
47.85	8.601831991359642
47.901	8.870892619439292
47.951	8.599538356856355
48.0	8.69921152496094
48.05	8.775940915310757
48.101	8.870262467058197
48.15	8.8354285719533
48.201	8.553012517565115
48.25	8.761369119799513
48.3	8.781660587456283
48.35	8.55433161731342
48.4	8.550607141164356
48.451	8.728207927754996
48.5	8.66388579554468
48.55	8.728457042640315
48.601	8.707031522397868
48.65	8.710521233406066
48.701	8.706412168048924
48.75	8.741169097128825
48.8	8.577046093356678
48.85	8.884524050042502
48.901	8.517097400494508
48.95	8.67373158682957
49.0	8.550110609156583
49.05	8.770496956842083
49.1	8.720608972804259
49.15	8.79647229780968
49.201	8.415741166124771
49.25	8.588895611926363
49.301	8.760736166323392
49.35	8.527871118158941
49.4	8.573430896312098
49.451	8.906394984558164
49.5	8.672698745666807
49.558	8.735054384462833
49.6	8.705002684807077
49.651	8.580552860182049
49.7	8.56955931790263
49.75	8.55433161731342
49.8	8.742415037968883
49.85	8.489696046669843
49.901	8.748655925274626
49.951	8.672499465110079
50.001	8.672499465110079
50.05	8.791385747575447
50.1	8.66757844321053
50.15	8.544301966087767
50.201	8.693674307834309
50.25	8.576217979571744
50.3	8.609589518484114
50.35	8.746158102093244
50.4	8.566541258890197
50.451	8.495590325979563
50.5	8.656661309533296
50.55	8.634870737467546
50.601	8.64782450212601
50.65	8.49320730622218
50.7	8.470297547399447
50.75	8.646164300525793
50.801	8.523671820378055
50.85	8.553012517565115
50.9	8.520246322379043
50.951	8.78250949921136
51.0	8.489044014579196
51.051	8.587211160784952
51.101	8.603047508309066
51.15	8.518451736576003
51.2	8.617200665451767
51.25	8.484932795535233
51.3	8.68668586298931
51.35	8.649475220292526
51.4	8.526073216477233
51.45	8.6661144381679
51.5	8.535392654774201
51.55	8.567497420984173
51.6	8.361259184529127
51.65	8.565567935539196
51.701	8.607764511130004
51.75	8.769949057426226
51.8	8.46445577374142
51.85	8.592533833956471
51.9	8.518531333140011
51.95	8.664698784476041
52.0	8.588761074616006
52.05	8.72132489484765
52.1	8.574395705663093
52.15	8.561342992126995
52.2	8.516138159491225
52.25	8.677227208697726
52.3	8.47914965263109
52.35	8.713391144310224
52.4	8.651935825211362
52.45	8.60593970334185
52.5	8.496059713833635
52.55	8.58444424197123
52.6	8.58444424197123
52.65	8.519485975152017
52.701	8.425685469267885
52.751	8.466192990067947
52.8	8.718352985389116
52.85	8.5123941433204
52.901	8.669220042001294
52.95	8.577775643678267
53.0	8.524868246635348
53.051	8.511880007971126
53.1	8.658742103381428
53.15	8.618715683234797
53.2	8.67640965652263
53.25	8.675593539407696
53.3	8.687080726907203
53.35	8.507698954113572
53.4	8.50373739771046
53.451	8.429769679574957
53.5	8.557117525109888
53.55	8.429789037366954
53.601	8.659780787999907
53.651	8.531790197719587
53.7	8.468470861905178
53.751	8.689358492674998
53.8	8.520003092666057
53.85	8.629201045696052
53.9	8.419844947104064
53.95	8.452630869106
54.0	8.85850074234383
54.051	8.553400757915432
54.1	8.57282029015752
54.15	8.47371774281838
54.2	8.560025311953995
54.251	8.510686477467507
54.3	8.574630399772403
54.35	8.501220160983907
54.401	8.61369993810826
54.45	8.65051956171599
54.5	8.645985490492473
54.55	8.397567297283032
54.6	8.520003092666057
54.651	8.356617744965797
54.7	8.526492925829357
54.75	8.49427563831074
54.8	8.588761074616006
54.857	8.605185517361827
54.9	8.521794648503363
54.95	8.452070625159239
55.0	8.514260592403144
55.05	8.59421631702674
55.1	8.370653562986996
55.151	8.560739832318712
55.201	8.435646501057631
55.25	8.504264327885537
55.3	8.594684083811446
55.35	8.540194254105561
55.4	8.365358794587044
55.45	8.43741055210231
55.5	8.518371260617887
55.55	8.534003491018558
55.6	8.523587382674535
55.651	8.326786069834936
55.7	8.502544771017293
55.75	8.490761106357462
55.8	8.313919450113456
55.85	8.536404942537429
55.9	8.5845267454612
55.95	8.406954962907546
56.0	8.566416875040149
56.05	8.598049049040178
56.1	8.503073337531385
56.152	8.428608309992153
56.2	8.579814548049558
56.25	8.80601865958225
56.301	8.64151902759293
56.35	8.403456292951791
56.4	8.680517819410449
56.45	8.549301597246998
56.5	8.504058159624186
56.55	8.587551026205412
56.6	8.535199952933752
56.651	8.36782449864568
56.7	8.601680450257938
56.75	8.599254951487351
56.8	8.540503654274103
56.85	8.430950015186978
56.9	8.45145262108117
56.95	8.504790565224228
57.0	8.374200989424935
57.05	8.670456837449226
57.1	8.417492375017348
57.15	8.380091069162628
57.2	8.642391700263246
57.251	8.361960260203567
57.3	8.341435775798535
57.351	8.673948263508692
57.4	8.355504469774852
57.451	8.25511269324215
57.5	8.488864748519953
57.55	8.412223701645637
57.6	8.42041896131719
57.65	8.417492375017348
57.7	8.578733156518076
57.75	8.520511497619532
57.801	8.747884784739954
57.85	8.411052986733829
57.9	8.538610733285005
57.951	8.284678758169816
58.0	8.459021464245277
58.051	8.562208120687592
58.1	8.528710534210774
58.15	8.606106051670555
58.2	8.577532753716913
58.251	8.40638160421159
58.3	8.571130186389405
58.35	8.513435411295522
58.4	8.49130410716681
58.45	8.403456292951791
58.5	8.435646501057631
58.551	8.46838886313578
58.6	8.252041744022321
58.651	8.435613840440555
58.7	8.389392896358418
58.75	8.465436686737537
58.801	8.290676099900491
58.85	8.463076488602264
58.9	8.477863798187872
58.95	8.38238854578049
59.0	8.609747973997127
59.051	8.518211713912082
59.1	8.191942775812501
59.15	8.454430977034948
59.2	8.53589160524212
59.25	8.5328979508816
59.3	8.521197010552426
59.35	8.38709272861938
59.401	8.40053231151878
59.45	8.46256160169337
59.5	8.361960260203567
59.55	8.38588613871731
59.6	8.383551900794632
59.65	8.43212387225055
59.7	8.46256160169337
59.751	8.612025973006748
59.8	8.264315021248139
59.85	8.38067172118241
59.9	8.374170757385704
59.95	8.270798305045053
60.001	8.48726085405745
60.05	8.43799784498043
60.101	8.327937612946132
60.15	8.35247384930031
60.2	8.439181794741542
60.25	8.537603455880623
60.3	8.3999270882963
60.35	8.55531218518604
60.4	8.375392853920449
60.45	8.44384033360717
60.5	8.291637382421479
60.55	8.592865181832991
60.6	8.436839202711159
60.65	8.346114139093212
60.7	8.445630607472804
60.75	8.350786510636015
60.8	8.415741166124771
60.85	8.451502634172087
60.9	8.395231618063065
60.95	8.379410774840363
61.001	8.455021624143932
61.051	8.423355199653486
61.1	8.298685784595923
61.15	8.369493268288718
61.2	8.39114838956132
61.25	8.538297520392312
61.3	8.354836133417134
61.35	8.33491597678918
61.4	8.366593265616343
61.451	8.375913606852794
61.5	8.622820690779571
61.55	8.365358794587044
61.6	8.365396800454258
61.65	8.413405394687649
61.7	8.485526981517127
61.75	8.621152061090088
61.8	8.43741055210231
61.851	8.261249112807562
61.9	8.389362683231113
61.95	8.398759254891262
62.0	8.595904380494478
62.05	8.502544771017293
62.1	8.499036461632206
62.15	8.312127720554646
62.2	8.29039920365857
62.25	8.427463264813484
62.301	8.533678957248549
62.35	8.364199024528402
62.4	8.248382673202098
62.45	8.351371799424545
62.5	8.425116562329636
62.55	8.29630634863513
62.6	8.36775229039964
62.65	8.484339709214177
62.7	8.289820084181446
62.75	8.435091607189406
62.8	8.311546538087775
62.85	8.41573958121874
62.9	8.46445577374142
62.95	8.477815556627432
63.001	8.426878082457153
63.051	8.560025311953995
63.1	8.316723638404161
63.15	8.432143199778665
63.2	8.399912038550637
63.251	8.521271529761037
63.3	8.359479025832373
63.35	8.327937612946132
63.4	8.326652749515283
63.45	8.240625929029594
63.5	8.38173273717804
63.55	8.459090046720055
63.6	8.399320139110237
63.65	8.276278841531525
63.7	8.428042691365203
63.751	8.601361656307477
63.8	8.498440663800306
63.85	8.395822614963246
63.9	8.413405394687649
63.951	8.31981749634511
64.0	8.432767570730036
64.05	8.26590622271123
64.1	8.129481549414594
64.151	8.0844989870403
64.2	8.31499947742111
64.25	8.374721069145004
64.3	8.330241248973714
64.35	8.155486644738883
64.4	8.372428052935097
64.45	8.358404812840732
64.5	8.417497283372368
64.551	8.351317029430962
64.6	8.368297736265092
64.65	8.431563323999978
64.7	8.323841593812583
64.75	8.480779045438164
64.8	8.281256482763418
64.85	8.192502869511245
64.9	8.46200712952414
64.95	8.244990846876576
65.0	8.2472489013013
65.05	8.317521190837505
65.1	8.225225283398066
65.15	8.278977806735274
65.2	8.151795209226286
65.25	8.32557554546828
65.3	8.500096661315087
65.35	8.384140777709122
65.401	8.333131881123624
65.45	8.27591334225462
65.5	8.581023105202572
65.551	8.43799784498043
65.6	8.138000663521689
65.65	8.470297547399447
65.7	8.470297547399447
65.75	8.495341163578063
65.801	8.231710563834035
65.85	8.379484393593177
65.901	8.41867673999249
65.95	8.19474348346628
66.001	8.457352000932564
66.05	8.195638974840259
66.1	8.33197104226648
66.151	8.210864866640092
66.2	8.322116794247215
66.25	8.354264102297964
66.3	8.38411013194103
66.35	8.393512363063655
66.4	8.3595620449121
66.451	8.416908756451901
66.5	8.484825496027888
66.55	8.491237595478978
66.6	8.063497057289306
66.65	8.361960260203567
66.7	8.376582417568011
66.75	8.284777473197654
66.8	8.404055973524674
66.85	8.331647859024573
66.901	8.281459875664469
66.951	8.39062038318848
67.001	8.305400638742801
67.05	8.394118961709284
67.1	8.502267534462709
67.15	8.199492268569683
67.201	8.395297003774633
67.25	8.298461223785965
67.3	8.504506761998517
67.35	8.334583538767747
67.4	8.16166022941846
67.45	8.408144383685853
67.501	8.39062038318848
67.55	8.343913373097294
67.6	8.240160861521606
67.651	8.292098188057887
67.7	8.404645955902481
67.751	8.34752499101737
67.8	8.197979974321562
67.85	8.344013853295078
67.9	8.37840474451028
67.95	8.358653570193685
68.0	8.113949672274307
68.051	8.18258662374185
68.1	8.244371852700002
68.15	8.331263916867721
68.2	8.414561202200865
68.251	8.22552810187128
68.301	8.284128328953871
68.35	8.127474634701544
68.4	8.279950805911646
68.451	8.436109851387037
68.501	8.332983999667336
68.55	8.328332916942308
68.6	8.372067411765936
68.65	7.955197954992212
68.7	8.28026505677782
68.75	8.262059133434219
68.8	8.316168495507297
68.85	8.215556770165886
68.9	8.34585212381504
68.95	8.31266549440518
69.0	8.283660350755035
69.05	8.329609028471307
69.1	8.302236903897693
69.151	8.239566123437916
69.2	8.287642392077508
69.25	8.346522483373564
69.3	8.33654726694935
69.35	8.217380799701507
69.4	8.133749889774398
69.45	8.254027267502824
69.5	8.32260802621395
69.557	8.172777412554286
69.6	8.351652795309704
69.65	8.20628735911536
69.7	8.176844489277322
69.75	8.213310625699604
69.8	8.175933360873833
69.85	8.298164071176176
69.9	8.323111151400536
69.951	8.21794806426692
70.0	8.156502156788079
70.05	8.169819630619179
70.1	8.291895205248899
70.151	8.320385827536759
70.2	8.369182417786222
70.25	8.187940432146714
70.3	8.197909683295068
70.35	8.182383497901885
70.4	8.116277008750064
70.45	8.087042893988933
70.501	8.056154843893296
70.55	8.203807613001022
70.6	8.2900104529233
70.65	8.259916086617961
70.7	8.143403019844067
70.75	8.190337343518564
70.8	8.238442534003207
70.85	8.265106915624278
70.9	8.324020672435228
70.95	8.220484862994544
