Time (s)	PSI(P = 2 nW*um^-2)(a.u.) 
44.922	0.525698599571903
44.962	0.493237007756575
45.002	0.496844034105696
45.042	0.493838727257015
45.082	0.487225923965854
45.122	0.499248796687337
45.162	0.508867141873859
45.202	0.504659101164339
45.242	0.480613355721373
45.282	0.494439271524056
45.322	0.477006094325573
45.362	0.511271904455499
45.402	0.489029202093734
45.442	0.494439271524056
45.482	0.495040991024497
45.522	0.486624439512094
45.562	0.480012576407653
45.602	0.484821161384214
45.643	0.480613355721373
45.684	0.509467921187579
45.724	0.495641770338217
45.764	0.494439271524056
45.805	0.495641770338217
45.846	0.493838727257015
45.886	0.507664643059698
45.926	0.488428422780014
45.967	0.502855117896417
46.008	0.499849576001057
46.048	0.489029202093734
46.088	0.501653794315656
46.128	0.492636228442855
46.168	0.495040991024497
46.208	0.480012576407653
46.248	0.493838727257015
46.289	0.498046532919856
46.33	0.497444813419416
46.371	0.481214135035093
46.411	0.493838727257015
46.451	0.498046532919856
46.491	0.480012576407653
46.531	0.487225923965854
46.571	0.480613355721373
46.611	0.511271904455499
46.652	0.504057616710577
46.692	0.497444813419416
46.732	0.498046532919856
46.772	0.483618897616733
46.812	0.495641770338217
46.852	0.490231465861215
46.892	0.481815619488853
46.932	0.493838727257015
46.972	0.511271904455499
47.012	0.483618897616733
47.052	0.478810077593493
47.092	0.489630686547495
47.134	0.487826703279574
47.175	0.493237007756575
47.215	0.489630686547495
47.255	0.486624439512094
47.295	0.496243489838655
47.335	0.498647312233576
47.375	0.479410856907213
47.416	0.477006094325573
47.456	0.485422880884653
47.496	0.498647312233576
47.537	0.506462379292219
47.577	0.478208593139732
47.617	0.467387984185731
47.657	0.504659101164339
47.697	0.496844034105696
47.737	0.484220382070494
47.778	0.504057616710577
47.818	0.490231465861215
47.858	0.494439271524056
47.899	0.496243489838655
47.939	0.491433964675376
47.979	0.472798288662731
48.019	0.484220382070494
48.059	0.481815619488853
48.099	0.501052074815218
48.14	0.492636228442855
48.181	0.482416398802573
48.221	0.508265422373418
48.261	0.497444813419416
48.301	0.46197767970873
48.341	0.481214135035093
48.381	0.485422880884653
48.421	0.482416398802573
48.461	0.470995245581531
48.501	0.475803830558092
48.542	0.479410856907213
48.582	0.46798970368617
48.622	0.487826703279574
48.662	0.51367572685042
48.702	0.489029202093734
48.742	0.478810077593493
48.782	0.478810077593493
48.822	0.474000552430212
48.862	0.493838727257015
48.902	0.474000552430212
48.942	0.462579399209169
48.982	0.466787204872009
49.022	0.456567375231729
49.062	0.475803830558092
49.102	0.486624439512094
49.142	0.472798288662731
49.182	0.470995245581531
49.222	0.474602271930652
49.262	0.459572917127088
49.302	0.479410856907213
49.342	0.46438244229037
49.382	0.471595789848572
49.422	0.46438244229037
49.462	0.474602271930652
49.502	0.471595789848572
49.542	0.46438244229037
49.582	0.474602271930652
49.622	0.494439271524056
49.663	0.479410856907213
49.703	0.473400008163171
49.744	0.454764332150528
49.784	0.484821161384214
49.825	0.478810077593493
49.865	0.46618572041825
49.906	0.482416398802573
49.946	0.478208593139732
49.986	0.470995245581531
50.026	0.46438244229037
50.066	0.477607813826012
50.106	0.440336696847404
50.147	0.477607813826012
50.187	0.469792746767371
50.228	0.472197509349011
50.268	0.46438244229037
50.308	0.467387984185731
50.349	0.469792746767371
50.389	0.452960348882608
50.429	0.463180178522889
50.469	0.466787204872009
50.509	0.473400008163171
50.549	0.479410856907213
50.59	0.489630686547495
50.63	0.470995245581531
50.671	0.46798970368617
50.711	0.479410856907213
50.751	0.481214135035093
50.792	0.46558494110453
50.832	0.481214135035093
50.872	0.478208593139732
50.912	0.470393526081091
50.952	0.46197767970873
50.992	0.456567375231729
51.032	0.472197509349011
51.073	0.476405315011852
51.113	0.46498322160409
51.153	0.473400008163171
51.193	0.455365111464248
51.233	0.473400008163171
51.273	0.451157070754727
51.313	0.46498322160409
51.353	0.46859048299989
51.393	0.472798288662731
51.434	0.477607813826012
51.474	0.472798288662731
51.514	0.451758790255166
51.555	0.475203051244372
51.596	0.469792746767371
51.636	0.469792746767371
51.676	0.480012576407653
51.716	0.469792746767371
51.757	0.460775415941249
51.797	0.46438244229037
51.837	0.451157070754727
51.878	0.479410856907213
51.918	0.46798970368617
51.959	0.469792746767371
51.999	0.469191967453651
52.039	0.471595789848572
52.079	0.488428422780014
52.119	0.460775415941249
52.159	0.482416398802573
52.2	0.469191967453651
52.24	0.475203051244372
52.28	0.492034508942416
52.321	0.478810077593493
52.361	0.476405315011852
52.401	0.46859048299989
52.441	0.475203051244372
52.481	0.478208593139732
52.521	0.452960348882608
52.561	0.457169094732167
52.601	0.463180178522889
52.641	0.460775415941249
52.681	0.448151763906045
52.721	0.457169094732167
52.761	0.458370653359609
52.801	0.463180178522889
52.841	0.452359569568888
52.881	0.46197767970873
52.921	0.457169094732167
52.961	0.451758790255166
53.001	0.462579399209169
53.041	0.430117807393842
53.081	0.445146222010686
53.121	0.450556526487687
53.161	0.440938181301164
53.201	0.444544502510245
53.241	0.439735917533684
53.281	0.428915308579682
53.321	0.434325613056683
53.361	0.440336696847404
53.401	0.447550044405607
53.441	0.437331154952045
53.481	0.439735917533684
53.521	0.446949265091887
53.561	0.454162612650087
53.601	0.438533418719524
53.641	0.462579399209169
53.681	0.445146222010686
53.721	0.46859048299989
53.761	0.455966595918007
53.801	0.489029202093734
53.841	0.459572917127088
53.881	0.472197509349011
53.921	0.46197767970873
53.961	0.467387984185731
54.001	0.472798288662731
54.041	0.475803830558092
54.081	0.462579399209169
54.121	0.451157070754727
54.161	0.481214135035093
54.201	0.482416398802573
54.242	0.470393526081091
54.282	0.46859048299989
54.322	0.488428422780014
54.362	0.497444813419416
54.403	0.455966595918007
54.443	0.475203051244372
54.483	0.470393526081091
54.524	0.458370653359609
54.565	0.473400008163171
54.606	0.467387984185731
54.647	0.466787204872009
54.687	0.471595789848572
54.727	0.450556526487687
54.767	0.46558494110453
54.807	0.455966595918007
54.847	0.449354027673526
54.887	0.46438244229037
54.927	0.459572917127088
54.968	0.46859048299989
55.009	0.487225923965854
55.049	0.458370653359609
55.09	0.46438244229037
55.13	0.446348485778165
55.17	0.46798970368617
55.21	0.457769874045889
55.25	0.466787204872009
55.29	0.488428422780014
55.331	0.475203051244372
55.371	0.458972137813368
55.411	0.477006094325573
55.451	0.482416398802573
55.491	0.489029202093734
55.531	0.476405315011852
55.571	0.487225923965854
55.611	0.46618572041825
55.651	0.476405315011852
55.691	0.481815619488853
55.732	0.466787204872009
55.772	0.471595789848572
55.812	0.467387984185731
55.852	0.484220382070494
55.892	0.485422880884653
55.932	0.457169094732167
55.972	0.481214135035093
56.012	0.46798970368617
56.052	0.46618572041825
56.092	0.470995245581531
56.132	0.457169094732167
56.173	0.483018118303013
56.213	0.477607813826012
56.254	0.442139739928605
56.295	0.455966595918007
56.337	0.454764332150528
56.377	0.457169094732167
56.417	0.443943723196525
56.457	0.459572917127088
56.497	0.439134198033244
56.537	0.445746766277726
56.578	0.445746766277726
56.619	0.434325613056683
56.659	0.46798970368617
56.699	0.455966595918007
56.739	0.443342003696085
56.779	0.452359569568888
56.819	0.467387984185731
56.859	0.457769874045889
56.899	0.444544502510245
56.939	0.466787204872009
56.981	0.467387984185731
57.021	0.471595789848572
57.061	0.46438244229037
57.101	0.474602271930652
57.141	0.455966595918007
57.181	0.473400008163171
57.221	0.436128656137884
57.261	0.455966595918007
57.301	0.458370653359609
57.342	0.448752308173086
57.383	0.469792746767371
57.423	0.457769874045889
57.464	0.455966595918007
57.504	0.445146222010686
57.544	0.452960348882608
57.584	0.462579399209169
57.625	0.449954806987246
57.665	0.470393526081091
57.705	0.454162612650087
57.745	0.458972137813368
57.786	0.449954806987246
57.827	0.447550044405607
57.868	0.461376900395008
57.908	0.46197767970873
57.948	0.458370653359609
57.988	0.453561833336367
58.028	0.430117807393842
58.068	0.438533418719524
58.108	0.434325613056683
58.148	0.447550044405607
58.188	0.455365111464248
58.229	0.445746766277726
58.271	0.442139739928605
58.311	0.433123114242523
58.351	0.437931934265765
58.391	0.434325613056683
58.431	0.442139739928605
58.471	0.451157070754727
58.511	0.453561833336367
58.551	0.442139739928605
58.591	0.456567375231729
58.631	0.457169094732167
58.671	0.442741459429046
58.711	0.435527876824164
58.751	0.454162612650087
58.791	0.428313589079242
58.831	0.425308047183882
58.871	0.436128656137884
58.911	0.445746766277726
58.951	0.428313589079242
58.991	0.425908826497602
59.031	0.437931934265765
59.071	0.430117807393842
59.111	0.459572917127088
59.151	0.424707502916841
59.191	0.457169094732167
59.231	0.437931934265765
59.271	0.41749321517192
59.311	0.429516087893402
59.351	0.447550044405607
59.391	0.446348485778165
59.431	0.449954806987246
59.471	0.452359569568888
59.511	0.437331154952045
59.551	0.441538960614885
59.591	0.424707502916841
59.631	0.433123114242523
59.671	0.446348485778165
59.711	0.433723893556243
59.752	0.427111325311762
59.792	0.443342003696085
59.832	0.434926392370403
59.872	0.438533418719524
59.912	0.421701020834761
59.952	0.443943723196525
59.993	0.427111325311762
60.033	0.429516087893402
60.073	0.446949265091887
60.113	0.434926392370403
60.154	0.435527876824164
60.195	0.427712809765522
60.235	0.424707502916841
60.275	0.439735917533684
60.315	0.448151763906045
60.355	0.434325613056683
60.396	0.41749321517192
60.437	0.423505004102681
60.477	0.423505004102681
60.517	0.427111325311762
60.557	0.427111325311762
60.597	0.441538960614885
60.637	0.427712809765522
60.677	0.41929719843984
60.718	0.432521629788763
60.758	0.4186954789394
60.799	0.434325613056683
60.839	0.423505004102681
60.879	0.427712809765522
60.919	0.433123114242523
60.961	0.427712809765522
61.001	0.425308047183882
61.041	0.421701020834761
61.081	0.441538960614885
61.121	0.445146222010686
61.161	0.433123114242523
61.201	0.446348485778165
61.242	0.455365111464248
61.282	0.424105783416401
61.322	0.424105783416401
61.362	0.432521629788763
61.402	0.41749321517192
61.442	0.409077368799558
61.482	0.424105783416401
61.522	0.430117807393842
61.562	0.443943723196525
61.602	0.41989797775356
61.642	0.420498522020601
61.682	0.425908826497602
61.723	0.41929719843984
61.763	0.431319130974603
61.803	0.421100241521041
61.844	0.41568993704404
61.884	0.41568993704404
61.924	0.4168924358582
61.965	0.433723893556243
62.006	0.436128656137884
62.047	0.433723893556243
62.087	0.422903284602242
62.127	0.429516087893402
62.167	0.447550044405607
62.207	0.427111325311762
62.247	0.413886893962839
62.288	0.442139739928605
62.328	0.429516087893402
62.368	0.447550044405607
62.408	0.442139739928605
62.448	0.427111325311762
62.488	0.420498522020601
62.528	0.41929719843984
62.568	0.407874869985399
62.608	0.440336696847404
62.648	0.431319130974603
62.689	0.424707502916841
62.729	0.423505004102681
62.771	0.413886893962839
62.811	0.437331154952045
62.852	0.420498522020601
62.892	0.422903284602242
62.932	0.4186954789394
62.972	0.41749321517192
63.012	0.410279632567039
63.052	0.434926392370403
63.092	0.436128656137884
63.132	0.428313589079242
63.172	0.427111325311762
63.212	0.402464565508398
63.252	0.41629071635776
63.292	0.421701020834761
63.332	0.439134198033244
63.372	0.409077368799558
63.412	0.4168924358582
63.453	0.413886893962839
63.493	0.431920850475043
63.533	0.41629071635776
63.573	0.436729435451604
63.613	0.414487673276559
63.653	0.440336696847404
63.693	0.421701020834761
63.733	0.428313589079242
63.773	0.436729435451604
63.813	0.431319130974603
63.853	0.432521629788763
63.893	0.443342003696085
63.933	0.420498522020601
63.973	0.401262301740917
64.013	0.412684395148678
64.053	0.421100241521041
64.093	0.41629071635776
64.133	0.433123114242523
64.173	0.431920850475043
64.213	0.444544502510245
64.253	0.431319130974603
64.293	0.409678148113279
64.333	0.41508845259028
64.373	0.442741459429046
64.413	0.452359569568888
64.453	0.448151763906045
64.493	0.433123114242523
64.533	0.443943723196525
64.573	0.41929719843984
64.613	0.429516087893402
64.653	0.4186954789394
64.693	0.430117807393842
64.733	0.413886893962839
64.773	0.4186954789394
64.813	0.413285174462398
64.853	0.423505004102681
64.893	0.391644191601074
64.933	0.393447234682276
64.973	0.412684395148678
65.013	0.407874869985399
65.053	0.420498522020601
65.093	0.421701020834761
65.133	0.412684395148678
65.173	0.391644191601074
65.213	0.398256759845557
65.253	0.421100241521041
65.294	0.41568993704404
65.334	0.425908826497602
65.375	0.399459258659715
65.415	0.404267843636278
65.456	0.406071826904198
65.496	0.4186954789394
65.537	0.403667064322556
65.577	0.406672606217918
65.617	0.430718351660883
65.657	0.405470107403757
65.697	0.409077368799558
65.737	0.4168924358582
65.778	0.406071826904198
65.819	0.402464565508398
65.859	0.400059802926756
65.901	0.409077368799558
65.941	0.421701020834761
65.981	0.429516087893402
66.022	0.408476589485838
66.062	0.404267843636278
66.102	0.41508845259028
66.143	0.412082910694919
66.184	0.410279632567039
66.224	0.41749321517192
66.265	0.407874869985399
66.305	0.404869328090037
66.346	0.406672606217918
66.386	0.397655980531835
66.426	0.402464565508398
66.466	0.404267843636278
66.506	0.412082910694919
66.546	0.406672606217918
66.586	0.421701020834761
66.626	0.420498522020601
66.666	0.389239429019435
66.707	0.436729435451604
66.747	0.412082910694919
66.787	0.414487673276559
66.827	0.41568993704404
66.867	0.41989797775356
66.907	0.413285174462398
66.947	0.412684395148678
66.987	0.401262301740917
67.027	0.401864021241357
67.067	0.427712809765522
67.107	0.425908826497602
67.147	0.427111325311762
67.187	0.41929719843984
67.228	0.421701020834761
67.269	0.41809469962568
67.309	0.406672606217918
67.35	0.4186954789394
67.39	0.413285174462398
67.43	0.405470107403757
67.47	0.4168924358582
67.51	0.396453716764356
